Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Vol, Ask Vol, Keltner Average, Top, Bottom
2016/8/9, 13:20:01.22, 2179.00, 2179.25, 2178.50, 2178.75, 3530, 1000, 2178.88, 2178.83, 2178.88, 1961, 1569, 2178.84, 2180.35, 2177.32
2016/8/9, 13:25:07.60, 2178.75, 2178.75, 2178.00, 2178.00, 3659, 1000, 2178.38, 2178.25, 2178.38, 2288, 1371, 2178.76, 2180.29, 2177.22
2016/8/9, 13:28:17.6, 2178.00, 2178.50, 2177.75, 2178.25, 3958, 1000, 2178.13, 2178.17, 2178.13, 2191, 1767, 2178.71, 2180.26, 2177.16
2016/8/9, 13:30:06.55, 2178.25, 2178.50, 2178.00, 2178.50, 4613, 1000, 2178.31, 2178.33, 2178.25, 2054, 2559, 2178.69, 2180.20, 2177.18
2016/8/9, 13:33:20.46, 2178.50, 2178.75, 2178.25, 2178.50, 3814, 1000, 2178.50, 2178.50, 2178.50, 1755, 2059, 2178.67, 2180.14, 2177.20
2016/8/9, 13:36:36.50, 2178.50, 2178.50, 2177.75, 2178.25, 4221, 1000, 2178.25, 2178.17, 2178.13, 2377, 1844, 2178.63, 2180.12, 2177.14
2016/8/9, 13:38:04.105, 2178.25, 2178.25, 2177.25, 2177.25, 3981, 1000, 2177.75, 2177.58, 2177.75, 3298, 683, 2178.50, 2180.07, 2176.93
2016/8/9, 13:41:39.118, 2177.25, 2177.50, 2176.50, 2177.00, 5348, 1000, 2177.06, 2177.00, 2177.00, 3969, 1379, 2178.36, 2179.99, 2176.72
2016/8/9, 13:41:51.8, 2176.75, 2177.00, 2176.25, 2176.75, 4643, 1000, 2176.69, 2176.67, 2176.63, 2700, 1943, 2178.20, 2179.84, 2176.56
2016/8/9, 13:42:42.1, 2176.75, 2177.00, 2176.50, 2176.50, 3830, 1000, 2176.69, 2176.67, 2176.75, 1826, 2004, 2178.04, 2179.63, 2176.45
2016/8/9, 13:45:06.86, 2176.50, 2177.00, 2176.25, 2176.75, 3219, 1000, 2176.63, 2176.67, 2176.63, 1206, 2013, 2177.92, 2179.52, 2176.32
2016/8/9, 13:49:02.30, 2176.75, 2177.25, 2176.75, 2176.75, 3699, 1000, 2176.88, 2176.92, 2177.00, 1680, 2019, 2177.81, 2179.36, 2176.26
2016/8/9, 13:50:37.176, 2176.75, 2177.00, 2176.00, 2176.00, 3278, 1000, 2176.44, 2176.33, 2176.50, 2398, 880, 2177.64, 2179.26, 2176.01
2016/8/9, 13:53:28.7, 2176.00, 2176.75, 2176.00, 2176.75, 2995, 1000, 2176.38, 2176.50, 2176.38, 1233, 1762, 2177.55, 2179.18, 2175.92
2016/8/9, 13:56:55.14, 2176.75, 2177.25, 2176.50, 2177.00, 3977, 1000, 2176.88, 2176.92, 2176.88, 1206, 2771, 2177.50, 2179.13, 2175.86
