Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/22, 13:45:00, 2081.25, 2082.00, 2080.75, 2081.75, 10288, 3223, 4957, 5331
2016/6/22, 13:50:00, 2081.75, 2083.25, 2081.50, 2083.25, 13859, 4570, 6858, 7001
2016/6/22, 13:55:00, 2083.00, 2083.25, 2082.25, 2082.25, 5900, 2213, 3517, 2383
2016/6/22, 14:00:00, 2082.25, 2083.00, 2081.50, 2082.25, 7585, 2625, 3939, 3646
2016/6/22, 14:05:00, 2082.25, 2084.00, 2081.75, 2082.25, 11534, 3953, 5850, 5684
2016/6/22, 14:10:00, 2082.00, 2082.75, 2081.75, 2082.50, 5028, 1894, 2646, 2382
2016/6/22, 14:15:00, 2082.50, 2083.50, 2081.50, 2081.75, 7019, 2484, 3379, 3640
2016/6/22, 14:20:00, 2081.75, 2082.00, 2080.50, 2081.50, 9611, 3368, 5428, 4183
2016/6/22, 14:25:00, 2081.75, 2083.00, 2081.25, 2082.50, 8332, 3219, 3819, 4513
2016/6/22, 14:30:00, 2082.25, 2083.25, 2081.00, 2081.25, 9160, 3262, 4458, 4702
2016/6/22, 14:35:00, 2081.25, 2081.50, 2080.00, 2080.50, 8845, 3153, 4691, 4154
2016/6/22, 14:40:00, 2080.50, 2081.00, 2079.75, 2080.00, 7562, 2545, 4547, 3015
2016/6/22, 14:45:00, 2079.75, 2080.25, 2079.00, 2079.75, 10371, 3728, 5109, 5262
2016/6/22, 14:50:00, 2079.75, 2080.75, 2079.25, 2080.75, 9690, 3325, 4554, 5136
2016/6/22, 14:55:00, 2080.75, 2081.25, 2080.25, 2080.75, 8520, 2952, 3975, 4545
2016/6/22, 15:00:00, 2080.75, 2083.50, 2080.50, 2082.75, 11282, 4092, 5092, 6190
2016/6/22, 15:05:00, 2082.50, 2083.00, 2079.50, 2079.50, 14402, 5058, 8213, 6189
2016/6/22, 15:10:00, 2079.75, 2080.75, 2079.25, 2079.50, 10981, 3979, 5103, 5878
2016/6/22, 15:15:00, 2079.50, 2080.75, 2079.00, 2079.00, 9326, 3515, 4814, 4512
2016/6/22, 15:20:00, 2079.25, 2079.25, 2077.50, 2077.75, 11031, 4216, 6313, 4718
2016/6/22, 15:25:00, 2077.75, 2078.75, 2077.25, 2077.75, 10432, 3857, 5606, 4826
2016/6/22, 15:30:00, 2077.75, 2078.50, 2077.00, 2078.25, 9453, 3324, 4283, 5170
2016/6/22, 15:35:00, 2078.25, 2079.25, 2076.75, 2079.00, 16853, 5513, 7673, 9180
2016/6/22, 15:40:00, 2079.25, 2079.75, 2077.50, 2077.75, 18835, 5981, 9549, 9286
2016/6/22, 15:45:00, 2077.75, 2079.00, 2077.00, 2077.75, 20523, 6115, 10487, 10036
2016/6/22, 15:50:00, 2077.75, 2078.00, 2075.50, 2077.50, 36606, 9258, 17655, 18951
2016/6/22, 15:55:00, 2077.75, 2078.50, 2075.25, 2076.50, 60961, 11856, 28412, 32549
2016/6/22, 16:00:00, 2076.50, 2077.50, 2076.00, 2077.00, 40159, 6184, 18598, 21561
2016/6/22, 16:05:00, 2077.25, 2077.50, 2076.75, 2077.00, 10856, 2359, 5571, 5285
2016/6/22, 16:10:00, 2077.25, 2077.25, 2076.25, 2077.25, 15079, 2828, 7509, 7570
2016/6/22, 16:15:00, 2077.25, 2077.25, 2077.25, 2077.25, 4, 1, 0, 4
2016/6/22, 16:30:00, 2077.00, 2077.50, 2076.50, 2077.50, 2390, 506, 1329, 1061
2016/6/22, 16:35:00, 2077.50, 2077.75, 2077.25, 2077.75, 644, 193, 290, 354
2016/6/22, 16:40:00, 2077.50, 2077.75, 2077.25, 2077.50, 455, 164, 194, 261
2016/6/22, 16:45:00, 2077.75, 2077.75, 2077.25, 2077.25, 399, 152, 217, 182
2016/6/22, 16:50:00, 2077.25, 2078.00, 2077.00, 2077.50, 1156, 276, 653, 503
