Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/22, 12:37:40.8, 2080.00, 2080.50, 2079.75, 2080.25, 1350, 500, 622, 728
2016/6/22, 12:38:17.60, 2080.25, 2080.75, 2080.25, 2080.50, 1405, 500, 649, 756
2016/6/22, 12:38:46, 2080.50, 2081.00, 2080.50, 2080.75, 1436, 500, 662, 774
2016/6/22, 12:39:23.15, 2080.75, 2080.75, 2080.50, 2080.75, 1753, 500, 636, 1117
2016/6/22, 12:39:46.19, 2080.75, 2081.25, 2080.50, 2081.00, 1300, 500, 521, 779
2016/6/22, 12:40:28, 2081.00, 2081.25, 2080.75, 2080.75, 1453, 500, 755, 698
2016/6/22, 12:41:28.17, 2080.75, 2081.00, 2080.50, 2080.75, 1560, 500, 919, 641
2016/6/22, 12:42:08.2, 2080.75, 2081.00, 2080.50, 2080.75, 1419, 500, 783, 636
2016/6/22, 12:43:10.28, 2080.75, 2081.25, 2080.50, 2081.25, 1394, 500, 512, 882
2016/6/22, 12:44:45.2, 2081.25, 2081.50, 2080.75, 2081.00, 1530, 500, 1039, 491
2016/6/22, 12:45:25.19, 2081.00, 2081.50, 2081.00, 2081.25, 1637, 500, 704, 933
2016/6/22, 12:46:21.10, 2081.25, 2081.50, 2081.25, 2081.50, 1500, 500, 522, 978
2016/6/22, 12:47:45.11, 2081.50, 2082.00, 2081.50, 2082.00, 1790, 500, 461, 1329
2016/6/22, 12:47:54.197, 2082.00, 2082.00, 2081.50, 2081.50, 1590, 500, 1038, 552
2016/6/22, 12:48:20.131, 2081.50, 2081.75, 2081.25, 2081.25, 1513, 500, 823, 690
2016/6/22, 12:49:29.30, 2081.25, 2081.75, 2081.25, 2081.50, 1521, 500, 747, 774
2016/6/22, 12:50:10, 2081.50, 2082.00, 2081.50, 2082.00, 1713, 500, 537, 1176
2016/6/22, 12:50:35.163, 2082.00, 2082.50, 2082.00, 2082.50, 1350, 500, 375, 975
2016/6/22, 12:50:46.130, 2082.50, 2083.25, 2082.50, 2083.25, 1144, 500, 321, 823
2016/6/22, 12:51:00.70, 2083.25, 2083.25, 2082.75, 2082.75, 1394, 500, 977, 417
2016/6/22, 12:51:11.17, 2082.75, 2083.00, 2082.25, 2082.50, 2137, 500, 1672, 465
2016/6/22, 12:51:48.12, 2082.50, 2082.75, 2082.25, 2082.25, 1526, 500, 880, 646
